tcoll_ctlA rc=1 | this proof-term proves:
tcoll_ctlB rc=1 | this proof-term proves:
tcoll_ctlC rc=1 | this proof-term proves:
tcoll_ctlD rc=1 | the given proof-term proves:
tcoll_ctlE rc=1 | [by]: cannot close goals
tcoll_ctlF rc=1 | not an equation to rewrite
bered_ctlA rc=1 | this proof-term proves:
bered_ctlB rc=1 | [by]: cannot close goals
bered_ctlC rc=1 | [by]: cannot close goals
bered_ctlD rc=1 | [by]: cannot close goals
bered_ctlE rc=1 | this proof-term proves:
bered_ctlF rc=1 | this proof-term proves:
bered_ctlG rc=1 | this proof-term proves:
bered_ctlZ rc=1 | cannot save an incomplete proof
bes4_ctlA rc=1 | cannot prove goal (strict)
bes4_ctlB rc=1 | this proof-term proves:
bes4_ctlC rc=1 | this proof-term proves:
bes4_ctlD rc=1 | cannot prove goal (strict)
bes4_ctlE rc=1 | cannot prove goal (strict)
bes4_ctlF rc=1 | this proof-term proves:
bes4_ctlG rc=1 | cannot prove goal (strict)
